"velo","horz_break","vert_break","spin_rate"
90,0.8569,-0.1639,NA
97.4,-0.3056,1.5566,2431
98.1,-0.58,1.5117,2372
89.7,0.8632,0.0854,2989
88.9,0.9387,0.0519,2816
97.7,-0.5042,1.2022,2413
97.3,-0.2144,1.506,2312
87.5,0.8437,-0.2775,2838
95.5,-0.2635,1.2576,2205
90,-0.8415,0.9098,1614
98,-0.3981,1.4745,2503
95.5,-0.0792,1.4888,2473
88.1,0.6951,-0.2472,NA
89.8,0.8759,-0.0795,3004
98.4,-0.4249,1.1166,2359
87.6,1.1397,0.0513,NA
99.9,-0.5693,1.4604,2457
91.8,-1.2751,0.7392,1697
98.8,-0.5004,1.4002,2274
98.3,-0.4952,1.5168,2434
98.4,-0.4623,1.5432,2426
88.8,0.8418,-0.1357,2808
87.6,0.6865,-0.148,2905
88.7,0.6259,0.0593,2661
89.5,-0.8086,1.0651,1571
88.2,0.9174,-0.012,2997
97.4,-0.3917,1.3443,2236
86.5,1.113,-0.1841,NA
99.5,-0.5541,1.4773,2430
98.7,-0.5058,1.3656,2273
98.1,-0.498,1.4132,2306
97.7,-0.3144,1.3726,2283
88.4,0.9449,-0.2856,2792
90.2,-0.8007,0.9928,1614
89.9,0.6793,-0.0652,2658
97.6,-0.3995,1.5789,2272
85.4,0.6941,-0.4465,2597
90.2,-0.894,0.8542,1662
88.8,0.8356,-0.1947,2755
98.2,-0.1611,1.5079,2482
85.5,0.9027,-0.5331,2770
91,0.8549,-0.0157,2702
98.8,-0.3365,1.3526,2272
97.3,-0.2976,1.3118,2243
89.5,0.4419,-0.0824,NA
97.6,-0.3259,1.3906,2349
88.9,0.7876,-0.0564,2719
90.9,-0.9266,1.0072,1588
90.2,0.8439,0.1052,1308
96.6,-0.2139,1.4689,2413
89.8,-1.1222,0.5605,1635
89.9,-0.9119,0.884,1557
96.3,-0.4409,1.4813,2352
89.7,-1.3192,0.6023,1651
90,0.6322,0.2204,NA
90.2,-1.2618,0.6681,1484
97.2,-0.4041,1.3329,2325
98.3,-0.3643,1.233,2260
90.6,0.5269,0.0255,2554
89.1,0.6886,0.1499,2764
88.6,0.6121,0.0632,2694
94.9,-0.4144,1.3239,2166
96.3,-0.404,1.2525,2252
96.4,-0.4364,1.4083,2135
97.8,-0.5792,1.4402,2417
97.5,-0.1702,1.4902,2366
97.2,-0.4102,1.563,2389
90.9,-1.0213,0.9784,1644
97.4,-0.2181,1.487,2283
90.3,-1.0328,1.0019,1693
96,-0.2788,1.4615,2238
96.8,-0.3172,1.4944,2376
91.5,-0.7753,0.8339,1669
97.5,-0.4478,1.3646,2310
86.9,0.9342,-0.2718,2793
96.4,-0.6279,1.4887,2257
96.5,-0.5541,1.4542,2311
96.4,-0.8437,1.4511,2301
87.2,1.2796,-0.1201,2925
98.5,-0.4093,1.3662,2300
98.3,-0.3682,1.2836,2300
98.4,-0.2968,1.3184,2396
87.9,0.3835,0.1093,NA
89.6,-1.2418,0.5963,1665
90.5,-1.2079,0.6447,1677
99,-0.1747,1.4268,2444
99.2,-0.153,1.0604,2381
97.8,-0.638,1.407,2363
97,-0.468,1.5504,2342
86.6,0.926,-0.4349,2952
89.7,0.5748,0.2341,2613
86.6,1.0722,-0.2396,3044
89,-0.7863,0.6476,1564
97.6,-0.5639,1.3842,2238
85.8,0.8738,-0.2373,2883
98.8,-0.4013,1.3874,2432
98,-0.7248,1.4035,2289
97.6,-0.3975,1.3786,2254
90.8,0.7131,0.1459,2699
87.9,0.7576,-0.3464,2618
90.2,-1.1349,0.9014,1705
99,-0.2888,1.2261,2360
89.8,0.7606,0.1229,NA
96.8,-0.3876,1.5922,2395
96.9,-0.3406,1.5211,2435
96.1,-0.5629,1.41,2397
97.3,-0.4507,1.414,2455
96.8,-0.5663,1.563,2473
89.2,0.3038,0.2034,2576
89.2,0.9179,-0.4047,3052
89.6,0.6799,-0.2543,2889
90.3,-1.2718,0.5675,1677
97.5,-0.5365,1.5651,2233
98.1,-0.3418,1.2485,2286
89.8,-1.1853,0.7201,1671
87.8,0.8115,-0.2329,2941
98.7,-0.4087,1.2226,2381
98.5,-0.4511,1.2799,2296
87.9,0.8118,-0.3135,2962
87.5,0.7685,-0.4169,2910
98.5,-0.4873,1.3853,2294
98.4,-0.4651,1.5328,2435
86.8,0.7065,-0.1908,2708
98.3,-0.5845,1.3173,2306
98.9,-0.4845,1.3693,2424
99.1,-0.5514,1.2336,2405
99.6,-0.5453,1.3223,2448
89.2,0.6172,0.0134,NA
98.3,-0.457,1.3248,2333
97.6,-0.3209,1.4819,2308
97,-0.4955,1.3216,2282
96.8,-0.3064,1.3674,2271
98.1,-0.1159,1.3703,2363
88.7,0.8528,-0.1523,2899
87.1,0.6593,-0.0237,2785
86.1,1.2281,0.1277,2810
88.3,0.8417,-0.001,2723
96.9,-0.5678,1.4305,2412
89.8,0.7847,-0.0321,NA
97.3,-0.6174,1.4003,2478
97.3,-0.4237,1.3667,2484
89.6,0.6254,-0.0662,NA
97.5,-0.5074,1.467,2432
97.1,-0.3242,1.455,2473
96.6,-0.2683,1.4822,2428
88.5,0.5596,0.1026,2508
94.9,-0.7208,1.3923,2344
98.5,-0.2912,1.5104,2426
89.7,-0.938,0.5123,1560
91,-1.2161,0.8678,1666
98.1,-0.5788,1.2424,2414
97.8,-0.3874,1.1084,2270
89.8,0.7391,0.048,NA
90.3,0.5979,0.2405,2828
88.8,0.8186,-0.1131,2684
97.8,-0.5286,1.6381,2298
97.6,-0.3021,1.2004,2389
89.4,0.6106,-0.0247,NA
88.9,0.7289,-0.1162,NA
87.3,1.0266,-0.1874,2951
90,-0.6656,0.8751,1509
98.3,-0.493,1.4106,2440
89,0.8671,-0.0301,2903
97.8,-0.4242,1.4093,2320
97.5,-0.4395,1.4992,2386
97.5,-0.411,1.4619,2248
96.2,-0.3808,1.4892,2233
90.4,0.7339,-0.0084,2720
98.2,-0.6034,1.1032,2458
90.7,0.5028,0.0077,NA
98.4,-0.2271,1.189,2367
90.6,0.7344,0.1346,NA
97.5,-0.6368,1.2526,2474
88.3,-1.0671,0.8414,1631
89.8,0.4964,0.1566,2650
96.6,-0.5453,1.3041,2279
88.9,-0.7518,1.2033,1761
97.9,-0.7204,1.4593,2377
97.4,-0.6302,1.4124,2291
97,-0.3354,1.3865,2350
98.6,-0.4425,1.4421,2304
98.5,-0.6289,1.2873,2320
90.4,-0.9,1.2504,1678
96.4,-0.7505,1.6067,2469
96.6,-0.4548,1.5693,2297
97.8,-0.4409,1.2529,2161
98.2,-0.5589,1.1562,2182
