pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
453286,R,FF,4-Seam Fastball,96.9,2417,-0.838,1.1619,-3.5138,4.8641,6.143,0.9985,2.7668,13.8507,-140.4138,-2.6479,-14.0319,30.343,-16.5117
448306,R,FF,4-Seam Fastball,90.1,2279,-0.6268,1.1837,-2.6613,5.5435,7.135,0.0906,2.7643,8.345,-131.2338,-3.6476,-9.0899,24.9938,-17.4726
453286,R,CU,Curveball,80.9,2196,0.3688,0.1333,-3.6618,4.9082,6.187,0.3001,2.0689,8.1079,-117.5443,0.0567,1.9124,21.6411,-31.1705
448306,R,FT,2-Seam Fastball,89.7,2185,-1.3594,-0.3246,-3.1713,4.5027,6.79,-0.3873,0.2382,9.8875,-130.3736,-3.8605,-17.8329,27.9081,-35.2958
453286,R,SL,Slider,86.7,2329,0.3326,-0.2078,-3.5742,4.9674,6.047,-0.1382,2.1453,7.4929,-125.9661,-0.106,1.9639,25.8274,-34.5712
448306,R,FC,Cutter,87.4,2560,0.2275,0.4613,-3.1853,5.0643,6.64,1.1771,2.2372,10.1025,-127.1626,-1.7179,0.7687,22.0639,-26.932
453286,R,CH,Changeup,84.9,1387,-1.1205,0.043,-3.5971,5.1625,6,-2.0902,2.1569,5.6999,-123.4614,-0.8186,-12.4327,23.056,-31.8034
448306,R,FC,Cutter,87.3,2420,0.0995,0.7799,-2.9268,5.2892,6.46,0.9483,1.3726,9.1441,-126.9643,-4.9578,-0.5443,22.6935,-22.9241
453286,R,CU,Curveball,80.7,2427,0.2263,-0.1535,-3.6392,4.9495,5.994,1.2073,1.5001,10.2649,-117.055,-0.6995,0.1694,21.5332,-33.6682
448306,R,KC,Knuckle Curve,78.6,2561,0.4283,-0.1899,-2.5517,5.8054,6.377,1.1425,0.9299,7.214,-114.2504,-3.3771,2.46,20.5789,-33.4414
453286,R,FF,4-Seam Fastball,96.1,2499,-1.1982,1.1433,-3.4545,5.1378,6.255,-0.408,3.0384,10.7454,-139.593,-2.5215,-18.0319,31.5857,-16.9379
448306,R,CH,Changeup,82.4,1720,-1.0034,0.7439,-2.126,5.7188,6.641,0.1505,1.3471,7.1862,-119.9077,-4.9472,-11.1144,21.3566,-24.1861
453286,R,FF,4-Seam Fastball,94.7,2500,-1.2436,0.9054,-3.6591,4.9863,6.174,0.4267,1.8073,13.3357,-137.2424,-4.5578,-18.5639,30.3583,-20.0209
448306,R,FT,2-Seam Fastball,90.1,2122,-1.3733,-0.1154,-3.1964,4.5881,6.307,-1.0541,1.4426,8.2257,-130.9882,-1.5952,-17.5169,27.565,-33.381
453286,R,FC,Cutter,89.4,2482,0.1231,0.5992,-3.4858,4.9868,6.012,1.1598,1.9923,11.1077,-129.8021,-2.6003,-0.8308,25.8346,-25.1607
448306,R,KC,Knuckle Curve,78,2478,0.3909,-0.279,-2.3141,5.9091,6.268,-0.2221,2.485,3.7861,-113.6622,-0.0236,2.741,19.5742,-34.7969
453286,R,FF,4-Seam Fastball,96,2522,-1.1299,1.0105,-3.6392,4.9814,6.258,-0.9149,3.2349,9.7349,-139.4897,-1.2723,-16.9115,32.0831,-18.9841
448306,R,FT,2-Seam Fastball,87.5,2056,-1.2889,0.277,-3.0916,4.5374,6.599,-0.3006,1.5158,9.4571,-127.18,-1.7346,-16.0169,25.2479,-28.9862
607536,L,FF,4-Seam Fastball,92.5,2304,0.8772,1.3105,1.486,5.8456,6.257,-0.2797,2.3604,-6.3948,-134.4881,-5.945,11.9487,26.9592,-15.2482
607536,L,SL,Slider,88.8,2183,0.0018,0.639,1.7517,5.672,6.491,-0.458,1.0527,-5.4325,-129.2108,-6.6519,1.0947,25.5435,-23.8369
453286,R,CU,Curveball,80,2667,0.573,-0.5731,-3.3787,5.375,5.79,0.3144,1.8611,7.0129,-116.2922,0.0107,3.8336,21.1449,-37.5226
448306,R,FT,2-Seam Fastball,89,2135,-1.3713,0.2458,-2.7656,4.9657,6.505,-0.2489,1.4242,9.0959,-129.4248,-3.1985,-17.3556,25.7365,-28.9487
453286,R,FF,4-Seam Fastball,93.7,2345,-1.2445,1.1187,-3.4705,5.207,6.075,0.4119,2.8218,12.6441,-135.8346,-2.8204,-17.9824,28.991,-18.0572
448306,R,FC,Cutter,86.9,2272,0.2308,0.6827,-2.2716,6.0116,6.695,-0.0769,2.4222,4.8201,-126.5659,-3.9188,1.6214,23.7392,-24.1497
607536,L,FF,4-Seam Fastball,91.9,2250,0.8217,1.2195,1.484,6.0066,6.241,-0.3316,3.1865,-6.3655,-133.7915,-3.9729,11.1506,26.5803,-16.9148
453286,R,SL,Slider,85.7,2309,0.3324,0.1263,-3.647,5.1228,5.843,0.0836,2.9884,8.0791,-124.6043,0.9416,1.8746,23.751,-31.2844
607536,L,SL,Slider,84.5,2146,-0.038,0.7954,2.2076,5.5584,6.183,0.4676,1.5305,-3.973,-123.0721,-4.6401,0.3554,22.9613,-23.4477
448306,R,FF,4-Seam Fastball,89.5,2245,-0.8473,1.3065,-2.0496,5.8582,6.672,-0.6379,2.4325,5.3305,-130.2487,-5.2679,-10.8739,27.6658,-16.2338
453286,R,SL,Slider,86.6,2342,-0.0254,0.3054,-3.5394,5.1844,5.887,0.7273,1.5115,10.1339,-125.7254,-3.1827,-2.1033,22.783,-28.5993
607536,L,SL,Slider,85.8,2146,-0.1155,0.6666,2.0661,5.7575,6.206,1.069,3.143,-2.1249,-124.9772,-1.3006,-0.7987,24.0717,-25.1643
453286,R,FF,4-Seam Fastball,93.8,2387,-1.098,1.1425,-3.5436,5.0372,6.127,-0.3231,3.8436,10.675,-136.2134,0.1409,-15.8563,28.8728,-18.2781
607536,L,FF,4-Seam Fastball,92,2229,0.6557,1.1847,1.4293,6.1894,6.262,-0.458,2.9436,-6.1957,-133.7909,-4.9237,9.2061,29.654,-17.1565
607536,L,CH,Changeup,86.6,1411,0.9814,0.3363,1.6755,5.7766,6.288,0.6593,1.5043,-4.425,-126.094,-4.7022,11.3411,25.0889,-27.8673
